"hsap_ensembl_gid","hsap_gene_name","diff_1","diff_2","undiff_1","undiff_2"
"ENSG00000202275","SNORD51",0,0,0,0
"ENSG00000202276","Y_RNA",0,0,0,0
"ENSG00000202279","Y_RNA",1,0,0,4
"ENSG00000202281","RNA5SP235",0,0,0,0
"ENSG00000202283","SNORA33",0,0,0,0
"ENSG00000202285","RNU6-117P",0,0,0,0
"ENSG00000202290","RNA5SP37",5,10,1,5
"ENSG00000202293","SNORD114-22",0,0,0,0
"ENSG00000202296","RNU6-1335P",0,0,0,0
"ENSG00000202297","Y_RNA",0,0,0,4
"ENSG00000202300","RNU6-487P",0,0,0,0
"ENSG00000202304","RNU6-1130P",0,0,0,0
"ENSG00000202306","Y_RNA",0,0,0,0
"ENSG00000202308","RNU6-996P",0,0,0,0
"ENSG00000202309","Y_RNA",0,0,0,0
"ENSG00000202310","Y_RNA",0,0,0,0
"ENSG00000202313","RNU1-64P",0,0,0,0
"ENSG00000202314","SNORD6",9,6,14,10
"ENSG00000202317","RNU1-84P",0,0,0,0
"ENSG00000202318","Y_RNA",0,0,0,0
"ENSG00000202322","RNA5SP131",0,0,0,0
"ENSG00000202324","RNA5SP366",0,0,0,0
"ENSG00000202329","RNU6-609P",0,0,0,0
"ENSG00000202331","RNA5SP167",0,0,0,0
"ENSG00000202332","Y_RNA",0,0,0,2
"ENSG00000202334","RNA5SP238",0,0,0,0
"ENSG00000202335","SNORD50",0,0,0,0
"ENSG00000202336","RNU6-359P",0,0,0,0
"ENSG00000202337","RNU6-8",2,2,3,1
"ENSG00000202339","RNU4-45P",0,0,0,0
"ENSG00000202341","RNU6-1051P",0,0,0,0
"ENSG00000202343","SNORA2",3,15,11,7
"ENSG00000202344","RN7SKP208",0,0,0,0
"ENSG00000202345","Y_RNA",0,0,0,0
"ENSG00000202347","RNU1-16P",1,6,1,1
"ENSG00000202350","RNU6-326P",0,0,0,0
"ENSG00000202351","RN7SKP204",0,0,0,0
"ENSG00000202354","RNY3",0,0,0,0
"ENSG00000202356","RNA5SP277",0,0,0,0
"ENSG00000202357","Y_RNA",0,0,0,0
"ENSG00000202358","RNU6-652P",1,0,5,4
"ENSG00000202360","RN7SKP249",0,0,0,0
"ENSG00000202361","Y_RNA",0,1,0,0
"ENSG00000202363","SNORA62",0,0,0,0
"ENSG00000202368","Y_RNA",0,0,0,0
"ENSG00000202373","SNORD115-43",0,0,0,0
"ENSG00000202374","SNORA62",0,0,2,0
"ENSG00000202377","SNORA25",0,0,0,0
"ENSG00000202379","SNORA70",0,1,0,0
"ENSG00000202380","RNU1-55P",0,0,0,0
"ENSG00000202382","Y_RNA",1,3,5,3
"ENSG00000202383","RNA5SP279",0,0,0,0
"ENSG00000202385","Y_RNA",0,0,0,2
"ENSG00000202386","RNA5SP211",0,0,0,0
"ENSG00000202388","Y_RNA",0,0,0,0
"ENSG00000202389","SNORA70",8,16,0,0
"ENSG00000202392","RN7SKP292",0,0,0,0
"ENSG00000202395","RN7SKP1",0,0,0,0
"ENSG00000202398","RNU6-61P",0,0,0,0
"ENSG00000202399","Y_RNA",1,2,0,0
"ENSG00000202400","SNORD82",0,0,0,0
"ENSG00000202402","Y_RNA",0,0,0,0
"ENSG00000202406","RN7SKP187",0,0,0,0
"ENSG00000202407","Y_RNA",0,0,0,0
"ENSG00000202408","RNU1-122P",0,0,0,0
"ENSG00000202410","Y_RNA",0,0,0,0
"ENSG00000202411","RNA5SP259",0,0,0,0
"ENSG00000202412","Y_RNA",0,0,0,0
"ENSG00000202414","Y_RNA",0,0,0,0
"ENSG00000202415","RN7SKP269",2,2,4,4
"ENSG00000202417","Y_RNA",0,0,0,0
"ENSG00000202422","RNA5SP30",0,0,0,0
"ENSG00000202423","RNU6-827P",0,0,0,0
"ENSG00000202427","RNU6-744P",0,0,0,0
"ENSG00000202428","RNU6-108P",0,0,0,0
"ENSG00000202429","RNU4-48P",1,0,0,0
"ENSG00000202430","RNA5SP88",0,0,0,0
"ENSG00000202431","RNU6-438P",0,0,0,0
"ENSG00000202433","RNU6-54P",0,0,0,0
"ENSG00000202434","SNORA4",0,0,1,0
"ENSG00000202438","Y_RNA",0,0,0,0
"ENSG00000202440","SNORD42",0,0,0,0
"ENSG00000202441","RNY4P10",23,18,9,11
"ENSG00000202444","RNU5E-6P",0,0,0,0
"ENSG00000202445","RNU6-669P",0,0,0,0
"ENSG00000202449","SNORA63",0,0,0,0
"ENSG00000202459","Y_RNA",0,0,0,0
"ENSG00000202461","Y_RNA",1,5,9,9
"ENSG00000202468","RNU4-17P",0,0,0,0
"ENSG00000202469","Y_RNA",0,0,0,0
"ENSG00000202470","Y_RNA",0,0,0,0
"ENSG00000202471","RNU4-20P",0,0,0,0
"ENSG00000202472","RNA5SP248",0,0,0,0
"ENSG00000202473","RN7SKP81",0,0,0,0
"ENSG00000202474","RNA5SP283",11,3,6,2
"ENSG00000202476","Y_RNA",0,0,0,0
"ENSG00000202478","RNU6-81P",0,0,0,0
"ENSG00000202479","SNORD14",0,0,0,0
"ENSG00000202482","U3",0,0,0,0
"ENSG00000202485","RNU6-499P",0,0,0,0
"ENSG00000202487","Y_RNA",4,1,0,0
"ENSG00000202490","RNU6-597P",0,0,0,0
"ENSG00000202491","RNU6-716P",0,0,0,0
"ENSG00000202495","Y_RNA",0,0,0,0
"ENSG00000202496","RNVU1-20",0,0,0,0
"ENSG00000202497","RNU6-898P",0,0,0,0
"ENSG00000202498","SNORD116",0,0,0,0
"ENSG00000202499","SNORD115-36",0,0,0,0
"ENSG00000202502","RNA5SP151",0,0,0,0
"ENSG00000202503","SNORD34",0,0,0,0
"ENSG00000202508","Y_RNA",0,0,0,0
"ENSG00000202512","RN7SKP230",1,0,4,8
"ENSG00000202513","RNU6-805P",0,0,0,0
"ENSG00000202514","Y_RNA",0,0,2,1
"ENSG00000202515","VTRNA1-3",0,0,5,3
"ENSG00000202517","SNORA64",0,0,0,0
"ENSG00000202521","RNA5S7",0,0,0,0
"ENSG00000202522","Y_RNA",0,0,0,1
"ENSG00000202523","Y_RNA",0,0,0,0
"ENSG00000202526","RNA5S13",0,0,0,0
"ENSG00000202528","RNU6-650P",0,0,0,0
"ENSG00000202529","SNORD18B",0,0,0,0
"ENSG00000202532","RNU6-395P",0,0,0,0
"ENSG00000202533","Y_RNA",2,3,7,6
"ENSG00000202534","RNU6-1329P",0,0,0,0
"ENSG00000202536","Y_RNA",0,0,0,0
"ENSG00000202537","U8",0,0,0,0
"ENSG00000202538","RNU4-2",0,1,0,0
"ENSG00000202542","Y_RNA",3,0,0,1
"ENSG00000202560","MIR539",0,0,0,0
"ENSG00000202566","MIR421",9,6,4,9
"ENSG00000202569","MIR146B",0,0,0,0
"ENSG00000202601","MIR582",0,0,0,0
"ENSG00000202609","MIR488",0,0,0,0
"ENSG00000203257","AL691479.1",2,0,0,0
"ENSG00000203258","RP11-47J17.2",0,0,0,0
"ENSG00000203260","AL356475.1",0,0,1,0
"ENSG00000203262","RP5-961K14.2",0,0,0,0
"ENSG00000203266","RP11-560A15.3",0,0,0,0
"ENSG00000203268","AL445199.1",0,0,0,0
"ENSG00000203276","AL353898.2",19,9,8,8
"ENSG00000203279","RP11-498P14.5",2,2,0,0
"ENSG00000203280","CTA-221G9.11",0,0,0,0
"ENSG00000203281","AL590489.1",0,0,0,0
"ENSG00000203284","AL591516.1",0,0,0,0
"ENSG00000203285","AL591516.2",0,0,0,2
"ENSG00000203286","AL365202.1",0,0,0,0
"ENSG00000203288","RP11-98D18.9",0,0,0,0
"ENSG00000203301","AL590822.1",20,30,2,8
"ENSG00000203305","AC010525.1",0,0,0,0
"ENSG00000203306","AP001007.1",41,34,184,197
"ENSG00000203307","RP11-375H19.2",1,2,0,0
"ENSG00000203314","AC015815.1",0,1,0,0
"ENSG00000203315","AC015815.2",0,3,0,0
"ENSG00000203316","AC015815.3",0,0,0,0
"ENSG00000203317","AC015815.4",0,0,0,0
"ENSG00000203318","AC015815.5",0,0,0,0
"ENSG00000203321","RP11-197P3.4",3,5,4,13
"ENSG00000203325","RP11-277A4.4",5,10,13,14
"ENSG00000203326","ZNF525",128,187,227,214
"ENSG00000203327","AC012358.7",31,26,1,13
"ENSG00000203334","AP003027.1",0,0,0,0
"ENSG00000203335","AC006019.3",4,5,2,3
"ENSG00000203343","AC009107.1",0,0,0,0
"ENSG00000203344","AC018696.2",0,0,0,1
"ENSG00000203346","AL162458.1",0,0,0,0
"ENSG00000203356","RP11-296A18.3",4,3,1,1
"ENSG00000203362","RP3-337H4.8",11,10,10,10
"ENSG00000203363","AC012454.4",2,1,0,4
"ENSG00000203364","RP11-370F5.4",3,4,3,5
"ENSG00000203372","RP11-101E5.1",0,0,0,0
"ENSG00000203377","AC131568.1",0,0,0,0
"ENSG00000203384","AL591516.3",0,0,0,0
"ENSG00000203386","AC009499.1",0,1,1,0
"ENSG00000203387","AC074019.2",0,0,1,0
"ENSG00000203392","AC105020.1",57,70,108,95
"ENSG00000203394","RP5-930J4.4",0,0,0,0
"ENSG00000203395","AC015969.3",0,0,0,0
"ENSG00000203396","RP11-217O12.1",0,0,0,0
"ENSG00000203397","RP13-36G14.3",0,0,0,0
"ENSG00000203400","AP001187.1",1,0,0,0
"ENSG00000203401","AC009061.1",0,2,1,0
"ENSG00000203402","RP11-571E6.3",18,15,14,18
"ENSG00000203403","AC020907.2",14,11,8,4
"ENSG00000203408","OR6C71P",0,0,4,0
"ENSG00000203411","AC090519.2",0,0,0,0
"ENSG00000203413","ACTBP6",0,0,0,0
"ENSG00000203414","BTBD7P1",1,7,6,2
"ENSG00000203415","AC016734.1",0,0,0,0
"ENSG00000203416","FAM32B",0,1,1,1
"ENSG00000203418","AC131571.1",0,0,0,0
"ENSG00000203421","AC140061.2",0,0,0,0
"ENSG00000203422","AC140061.3",0,0,0,0
"ENSG00000203423","AC140061.4",1,1,0,0
"ENSG00000203424","AC140061.5",0,0,0,0
"ENSG00000203425","AC140061.6",1,0,0,0
"ENSG00000203426","AC140061.7",0,0,0,0
"ENSG00000203427","AC140061.8",1,2,0,0
"ENSG00000203428","AC140061.9",0,0,0,0
"ENSG00000203430","AC140061.10",0,0,0,0
"ENSG00000203431","AC140061.11",0,0,0,0
"ENSG00000203432","AC008147.1",0,0,0,0
"ENSG00000203433","AC008147.2",1,0,0,0
"ENSG00000203434","RP11-163F15.1",0,0,0,0
"ENSG00000203435","AC104600.1",4,8,8,11
"ENSG00000203436","AC109925.1",4,1,3,2
"ENSG00000203437","RP11-820K3.3",0,0,0,0
"ENSG00000203438","AL512625.1",0,0,0,0
"ENSG00000203441","LINC00449",9,9,5,3
"ENSG00000203442","AC008555.1",0,0,0,0
"ENSG00000203443","AC092964.1",0,0,0,0
"ENSG00000203446","AC004988.1",1,0,40,74
"ENSG00000203457","AC068896.1",0,0,2,1
"ENSG00000203462","RP11-814E24.1",0,0,0,0
"ENSG00000203465","AC061975.2",0,0,0,0
"ENSG00000203469","RP5-1113E3.3",0,0,0,0
"ENSG00000203471","AL359697.1",0,0,0,0
"ENSG00000203472","RP11-77K12.4",7,6,7,8
"ENSG00000203473","AC105036.1",1,0,0,1
"ENSG00000203477","AC061975.3",0,0,0,0
"ENSG00000203478","AC061975.4",0,0,0,0
"ENSG00000203479","AC061975.5",0,0,0,0
"ENSG00000203480","AC061975.6",0,0,0,0
"ENSG00000203482","AC061975.7",0,0,0,0
"ENSG00000203483","AC100852.1",0,0,1,1
"ENSG00000203484","AC100852.2",0,0,0,0
"ENSG00000203485","INF2",3228,3135,8366,8174
"ENSG00000203489","HMGB1P39",0,2,1,2
"ENSG00000203492","OR2N1P",0,0,0,0
